Point	x	y	z
489	1.183015	1.540805	0.260242
490	1.178201	1.710512	0.162035
491	1.395292	1.023403	1.097697
492	1.313956	1.051918	1.087766
493	1.368274	1.099031	0.788876
494	1.471916	1.057497	0.789041
495	1.374805	1.040208	1.301661
496	1.531728	1.188728	0.609176
497	1.413057	0.986071	0.706641
498	1.395068	0.962854	0.708693
499	1.096587	1.144153	0.761015
500	1.103127	1.120269	0.740841
501	1.047622	1.290828	0.63703
502	1.129653	1.712317	0.166635
503	1.126531	1.680865	0.1776
504	1.178195	1.618668	0.099889
505	1.150556	1.62308	0.076319
506	1.192303	1.080771	0.989354
507	1.570582	1.272519	0.630076
508	1.516847	1.21256	0.592586
509	1.261189	1.149064	0.61251
510	1.324303	1.143509	0.613699
511	1.352966	1.471292	0.535917
512	1.099777	1.111902	0.761577
513	1.552163	1.293261	0.509735
514	1.167997	0.955484	0.564367
515	1.279555	0.937552	0.51662
516	1.184175	0.953301	0.522363
517	1.19353	1.646354	0.09537
518	1.189945	1.64941	0.147707
519	1.182337	1.621477	0.146347
520	1.08334	1.751374	0.124283
521	1.186728	1.001294	1.113755
522	1.45961	0.968878	0.956771
523	1.401471	1.214499	0.615599
524	1.236371	1.516784	0.446894
525	1.356029	1.512419	0.534653
526	1.104209	1.719271	0.143406
527	1.185844	1.708555	0.13915
528	1.198648	1.111973	0.622903
529	1.213995	1.513714	0.47818
530	1.420852	1.063578	0.964296
531	1.110802	1.066274	0.827767
532	1.384407	0.944456	1.295192
533	1.464636	1.057662	0.776706
534	1.423383	0.902557	1.084461
535	1.117291	1.426734	0.527142
536	1.214902	1.492725	0.468105
537	1.337381	1.422888	0.506657
538	1.177146	1.460035	0.552255
539	1.059833	1.298808	0.494857
540	1.136627	1.604149	0.175726
541	1.369971	1.113202	0.636432
542	1.084263	1.143181	0.780812
543	1.053971	1.367128	0.534896
544	1.470573	0.931392	1.088673
545	1.468815	0.955894	1.099685
546	1.041919	1.059015	0.779901
547	1.041449	1.065462	0.811351
548	1.032745	1.063964	0.790785
549	1.431894	1.03085	0.484156
550	1.519313	1.199955	0.609406
551	1.22774	1.505116	0.534389
552	1.455919	1.417982	0.501643
553	1.458775	1.304886	0.495844
554	1.335886	1.420806	0.523208
555	1.133721	1.660516	0.219218
556	1.541795	1.199928	0.582252
557	1.24465	1.312964	0.495741
558	1.421526	1.010343	0.70066
559	1.175244	0.959805	1.122763
560	1.039131	1.117788	0.780058
561	1.227345	1.033046	1.100173
562	1.344054	1.110902	0.833084
563	1.210707	1.531825	0.527362
564	1.361437	1.434552	0.480633
565	1.353531	1.417392	0.473194
566	1.349982	0.907912	1.31963
567	1.557299	1.155968	0.68287
568	1.085015	0.924394	1.065218
569	1.515145	1.019163	0.789313
570	1.452928	1.014986	0.935017
571	1.135639	1.514698	0.504806
572	1.169031	1.079229	0.668866
573	1.089396	1.36057	0.531686
574	1.521294	1.210835	0.57653
575	1.321774	1.1487	0.528829
576	1.316271	1.135566	0.512757
577	1.158488	1.66549	0.223907
578	1.156046	1.622723	0.331603
579	1.348355	1.490526	0.525069
580	1.440936	1.35996	0.473705
581	1.314298	0.874612	1.064482
582	1.086599	1.222009	0.617952
583	1.212765	1.12988	0.603438
584	1.482037	1.098598	0.786192
585	1.465882	1.081425	0.779623
586	1.459624	0.99651	1.093721
587	1.167362	1.609191	0.142359
588	1.264941	0.928797	1.350103
589	1.033478	1.10005	0.754479
590	1.099764	1.108256	0.748752
591	1.574738	1.239344	0.580348
592	1.473831	1.042358	0.772545
593	1.09172	1.098869	0.754043
