Area	m2	bui
279	5.74E-04	L.Side_back
280	5.03E-04	LeftLegsJoint
281	4.06E-04	Back_side
282	1.49E-03	L.Hand
283	6.77E-05	RightArmsJoint
284	9.13E-04	Head
285	1.60E-04	L.Hand
286	2.79E-03	R.Side_back
287	3.49E-04	R.Fore_arm
288	1.09E-03	Pelvis
289	3.39E-03	L.foreleg
290	7.63E-04	R.Upper_arm
291	4.54E-04	Crown
292	6.50E-04	Head
293	2.58E-03	R.Upper_arm
294	1.53E-03	R.Upper_arm
295	6.40E-04	L.foreleg
296	1.39E-03	R.front_thigh
297	4.57E-04	Head
298	2.17E-04	LeftArmsJoint
299	1.90E-04	R.Hand
300	1.38E-03	R.Side_chest
301	2.23E-03	L.Side_back
302	3.33E-04	Head
303	6.79E-04	Head
304	1.48E-03	Back_side
305	3.34E-03	L.front_thigh
306	2.65E-04	LeftArmsJoint
307	1.56E-03	R.Back_thigh
308	4.77E-04	R.Hand
309	2.25E-04	L.Hand
310	9.96E-04	Head
311	3.66E-04	R.Upper_arm
312	4.09E-04	L.foreleg
313	2.02E-04	R.Fore_arm
314	7.53E-04	L.Upper_arm
315	7.08E-04	R.Upper_arm
316	1.01E-03	L.Upper_arm
317	2.64E-03	R.Fore_arm
318	6.70E-04	L.Upper_arm
319	1.96E-03	Head
320	6.71E-04	R.front_thigh
321	1.78E-03	L.foreleg
322	2.39E-04	L.Hand
323	1.19E-03	Head
324	2.54E-04	R.foreleg
325	1.98E-03	L.Back_thigh
326	5.28E-04	L.foreleg
327	1.62E-03	R.Fore_arm
328	2.62E-03	Back_side
329	2.76E-03	L.front_thigh
330	1.01E-03	L.front_thigh
331	2.33E-04	L.Hand
332	4.84E-04	L.Hand
333	5.59E-03	L.Side_chest
334	1.20E-03	R.Hand
335	1.04E-03	L.foreleg
336	7.23E-04	Back_side
337	4.99E-04	R.Hand
338	4.56E-04	L.foreleg
339	1.89E-04	R.Hand
340	2.14E-03	R.Side_chest
341	5.99E-04	L.Upper_arm
342	1.40E-03	R.Side_chest
343	1.03E-03	R.Side_chest
344	3.10E-04	LeftArmsJoint
345	3.48E-03	L.front_thigh
346	9.17E-04	R.front_thigh
347	6.32E-04	Crown
348	4.41E-04	Back_side
349	3.99E-04	R.Fore_arm
350	2.49E-04	L.Hand
351	2.27E-03	R.front_thigh
352	8.60E-04	Back_side
353	2.27E-03	L.Fore_arm
354	4.84E-04	L.Hand
355	4.26E-04	R.Upper_arm
356	9.22E-04	R.Back_thigh
357	1.15E-03	R.Side_chest
358	3.81E-04	L.foreleg
359	7.67E-04	L.foot
360	3.71E-04	R.Upper_arm
361	3.14E-04	R.Upper_arm
362	9.10E-04	L.Side_chest
363	6.73E-04	R.Hand
364	3.23E-04	R.Hand
365	5.29E-05	R.Hand
