Area,Direction,Normal_Z,Result,Azimuth,Elevation
544,270,-0.025,DownDirection,31.33,-1.43
545,90,0.9558,UpDirection,58.66,72.91
546,90,0.904,UpDirection,179.06,64.69
547,90,0.7325,UpDirection,84.44,47.1
548,270,-0.6551,DownDirection,33.4,-40.93
549,90,0.6157,UpDirection,-10.65,38
550,270,0.065,UpDirection,-82,3.73
551,270,-0.1018,DownDirection,-15.33,-5.84
552,270,0.4392,UpDirection,-10.99,26.05
553,90,0.522,UpDirection,119.47,31.47
554,270,0.4177,UpDirection,-5.9,24.69
555,270,0.3172,UpDirection,116.5,18.5
556,270,0.0944,UpDirection,61.06,5.42
557,90,0.1918,UpDirection,-15.91,11.06
558,270,0.1547,UpDirection,102.39,8.9
559,90,0.6671,UpDirection,104.99,41.85
560,270,-0.2831,DownDirection,89.3,-16.44
561,270,0.9308,UpDirection,-42.5,68.56
562,90,0.6207,UpDirection,58.46,38.37
563,90,0.616,UpDirection,53.4,38.03
564,90,-0.4206,DownDirection,49.65,-24.87
565,270,0.0138,UpDirection,-37.74,0.79
566,270,0.4532,UpDirection,-10.83,26.95
567,90,0.1361,UpDirection,139.28,7.82
568,90,-0.482,DownDirection,-70.26,-28.82
569,270,0.5692,UpDirection,-0.54,34.7
570,90,0.3063,UpDirection,-5.74,17.83
571,90,0.8993,UpDirection,22.67,64.07
572,270,-0.1411,DownDirection,-5.85,-8.11
573,90,0.4379,UpDirection,129.54,25.97
574,90,0.6108,UpDirection,109.59,37.65
575,270,-0.5115,DownDirection,13.47,-30.77
576,270,-0.7063,DownDirection,-18.48,-44.93
577,90,0.7851,UpDirection,-78.91,51.73
578,270,-0.0355,DownDirection,54.41,-2.03
579,270,0.4532,UpDirection,29.59,26.95
580,270,-0.119,DownDirection,2.02,-6.83
581,270,0.1747,UpDirection,32.49,10.06
582,90,-0.35,DownDirection,28.95,-20.49
583,270,0.3112,UpDirection,114.87,18.13
584,90,-0.1504,DownDirection,-35.04,-8.65
585,90,-0.4752,DownDirection,60.05,-28.37
586,90,0.7779,UpDirection,-130.47,51.07
587,270,-0.4175,DownDirection,-24.75,-24.67
588,90,0.7441,UpDirection,39.87,48.08
589,90,0.7275,UpDirection,98.03,46.68
590,90,0.5817,UpDirection,66.54,35.57
591,270,0.3317,UpDirection,46.74,19.37
592,90,-0.2433,DownDirection,81.27,-14.08
593,90,0.1118,UpDirection,-37.83,6.42
594,90,0.0389,UpDirection,-11.38,2.23
595,270,0.0809,UpDirection,66.75,4.64
596,270,-0.3967,DownDirection,-28.26,-23.37
597,270,-0.7115,DownDirection,8.65,-45.36
598,90,-0.2841,DownDirection,88.45,-16.51
599,90,0.9612,UpDirection,177.68,73.99
600,90,-0.4889,DownDirection,-84.42,-29.27
601,90,0.5999,UpDirection,17.54,36.86
602,270,-0.446,DownDirection,60.61,-26.49
603,90,0.22,UpDirection,99.78,12.71
604,270,0.1842,UpDirection,74.07,10.62
605,90,0.593,UpDirection,-61.79,36.37
606,90,0.683,UpDirection,90.53,43.08
607,270,-0.3706,DownDirection,-36.87,-21.75
608,270,0.4621,UpDirection,69.36,27.52
609,90,0.0829,UpDirection,114.56,4.75
610,90,0.7474,UpDirection,110.78,48.37
611,270,-0.3179,DownDirection,-0.13,-18.54
612,90,0.0636,UpDirection,4.49,3.65
613,270,0.2824,UpDirection,38.41,16.4
614,90,0.2116,UpDirection,139.41,12.22
615,90,0.3751,UpDirection,142.25,22.03
616,270,0.3711,UpDirection,-3.75,21.79
617,90,0.3552,UpDirection,72.39,20.81
618,90,0.0406,UpDirection,97.02,2.33
619,270,-0.0857,DownDirection,78.45,-4.91
620,90,0.2202,UpDirection,97.44,12.72
621,90,0.4049,UpDirection,114,23.88
622,270,0.0023,UpDirection,-31.3,0.13
623,270,0.3631,UpDirection,40.72,21.29
624,270,0.5562,UpDirection,93.59,33.79
625,90,0.6726,UpDirection,107.63,42.27
626,90,0.5674,UpDirection,121.47,34.57
627,90,0.5082,UpDirection,78.66,30.54
628,270,-0.1076,DownDirection,-22.4,-6.18
629,90,-0.1512,DownDirection,-33.71,-8.7
630,90,0.1978,UpDirection,5.85,11.41
631,90,0.3499,UpDirection,71.44,20.48
632,90,0.2317,UpDirection,125.03,13.39
633,270,-0.2383,DownDirection,-18.31,-13.79
634,270,-0.4457,DownDirection,-2.37,-26.47
635,90,0.4327,UpDirection,125.53,25.64
636,90,0.3599,UpDirection,112.8,21.1
637,90,0.9109,UpDirection,20.23,65.62
638,270,-0.7061,DownDirection,66.49,-44.92
639,90,0.4973,UpDirection,114.17,29.82
640,90,-0.2343,DownDirection,-26.07,-13.55
641,270,0.5562,UpDirection,2.53,33.79
642,270,-0.0953,DownDirection,-16.91,-5.47
643,270,0.1615,UpDirection,13.81,9.29
644,90,0.0328,UpDirection,76.57,1.88
645,90,0.6474,UpDirection,64.54,40.35
646,90,0.3498,UpDirection,43.33,20.48
647,270,0.2039,UpDirection,31.56,11.76
648,90,0.715,UpDirection,-80.73,45.65
649,90,0.232,UpDirection,94.28,13.41
650,90,0.4068,UpDirection,107.99,24
651,90,0.9335,UpDirection,147.29,68.98
652,270,-0.4877,DownDirection,24.06,-29.19
653,270,0.8056,UpDirection,43.4,53.67
654,270,-0.2818,DownDirection,-6.75,-16.36
655,90,-0.2107,DownDirection,77.04,-12.16
656,270,0.3368,UpDirection,53.58,19.68
657,90,0.6179,UpDirection,110.73,38.17
658,90,0.0281,UpDirection,-45.73,1.61
659,270,0.3423,UpDirection,15.12,20.02
660,270,-0.5307,DownDirection,1.4,-32.05
661,90,0.6261,UpDirection,31.83,38.77
662,270,-0.3656,DownDirection,-30.46,-21.44
663,270,-0.075,DownDirection,-9.34,-4.3
664,270,0.6125,UpDirection,89.76,37.77
665,270,-0.3263,DownDirection,82.76,-19.04
666,90,0.6051,UpDirection,92.9,37.24
667,270,0.2886,UpDirection,123.22,16.78
668,90,0.7863,UpDirection,115.45,51.84
669,90,0.2158,UpDirection,-6.62,12.46
670,90,0.0477,UpDirection,-1.46,2.73
671,270,-0.6947,DownDirection,-157.42,-44
672,90,0.3306,UpDirection,-12.42,19.31
673,90,-0.3085,DownDirection,-27.51,-17.97
674,270,-0.3009,DownDirection,109.85,-17.51
675,90,0.6084,UpDirection,0.2,37.48
676,270,-0.164,DownDirection,52.2,-9.44
677,90,0.1873,UpDirection,11.13,10.8
678,90,0.7601,UpDirection,-60.18,49.47
679,270,-0.0246,DownDirection,66.98,-1.41
680,90,0.8838,UpDirection,28.44,62.1
681,90,0.9502,UpDirection,124.87,71.85
682,90,-0.505,DownDirection,-31.66,-30.33
683,90,0.6074,UpDirection,108.8,37.4
684,90,0.9821,UpDirection,66.76,79.14
685,90,0.2401,UpDirection,-43.94,13.89
686,90,0.0696,UpDirection,11.83,3.99
687,270,0.382,UpDirection,139.01,22.46
688,270,-0.1401,DownDirection,34.44,-8.05
689,270,-0.0353,DownDirection,14.2,-2.02
690,90,-0.1903,DownDirection,-28.02,-10.97
691,90,0.6151,UpDirection,96.02,37.96
692,90,-0.1912,DownDirection,103.71,-11.02
693,90,0.3503,UpDirection,-67.26,20.51
694,90,0.8124,UpDirection,-102.19,54.33
695,90,0.1579,UpDirection,-35.76,9.08
696,90,0.467,UpDirection,17.5,27.84
697,270,0.2419,UpDirection,20.69,14
698,270,0.0802,UpDirection,-28.4,4.6
699,270,-0.1041,DownDirection,-2.21,-5.98
700,270,-0.047,DownDirection,122.25,-2.69
701,270,-0.1049,DownDirection,-29.94,-6.02
702,270,-0.057,DownDirection,102.62,-3.27
703,90,-0.2069,DownDirection,-1.33,-11.94
704,270,0.6169,UpDirection,-0.94,38.09
705,270,0.4076,UpDirection,126.68,24.05
706,90,0.022,UpDirection,102.64,1.26
707,270,-0.3689,DownDirection,32.2,-21.65
708,270,0.2826,UpDirection,3.11,16.41
709,270,0.5014,UpDirection,70.2,30.1
710,90,0.038,UpDirection,11.2,2.18
711,90,0.469,UpDirection,79.88,27.97
712,90,0.0597,UpDirection,45.18,3.42
713,90,0.3717,UpDirection,97.89,21.82
714,90,0.1625,UpDirection,40.71,9.35
715,90,0.0387,UpDirection,0.66,2.22
716,90,-0.1345,DownDirection,-23.3,-7.73
717,90,0.0284,UpDirection,-10.31,1.63
718,90,-0.1509,DownDirection,-35.18,-8.68
719,90,0.2529,UpDirection,144.28,14.65
720,90,0.211,UpDirection,-36.91,12.18
721,90,0.6115,UpDirection,-18.77,37.7
722,90,0.0754,UpDirection,59.47,4.32
723,90,0.6725,UpDirection,-157.44,42.26
724,270,-0.1575,DownDirection,91.1,-9.06
725,90,-0.1549,DownDirection,20.06,-8.91
726,270,0.0452,UpDirection,-40.05,2.59
727,90,0.2549,UpDirection,88.07,14.77
728,90,0.6587,UpDirection,-71.37,41.2
729,90,-0.2467,DownDirection,107.9,-14.28
730,90,0.2425,UpDirection,35.71,14.03
731,90,0.1806,UpDirection,61.52,10.41
732,90,-0.0287,DownDirection,9.84,-1.64
733,90,0.2137,UpDirection,-37.65,12.34
734,90,0.7587,UpDirection,39.43,49.35
735,90,0.6538,UpDirection,65,40.83
736,270,-0.5687,DownDirection,63.24,-34.66
737,90,0.4945,UpDirection,80.71,29.64
738,90,0.7182,UpDirection,57.98,45.9
739,90,0.2268,UpDirection,130.19,13.11
740,90,0.6776,UpDirection,68.82,42.66
741,270,0.4216,UpDirection,-12.33,24.94
742,270,-0.1144,DownDirection,-35.44,-6.57
743,90,0.2972,UpDirection,11.11,17.29
744,270,0.1738,UpDirection,55.31,10.01
745,90,0.2093,UpDirection,59.64,12.08
746,270,-0.1582,DownDirection,94.65,-9.1
747,90,0.8266,UpDirection,179.24,55.75
748,270,-0.073,DownDirection,-2.98,-4.19
749,90,0.9828,UpDirection,62.37,79.35
750,90,-0.0077,DownDirection,7.06,-0.44
751,270,-0.0965,DownDirection,-15.03,-5.54
752,270,-0.1201,DownDirection,85.05,-6.9
753,90,-0.0971,DownDirection,1.47,-5.57
754,90,0.1288,UpDirection,111.77,7.4
755,90,0.9515,UpDirection,146.04,72.08
756,90,0.9351,UpDirection,-40.65,69.24
757,270,-0.0721,DownDirection,101.45,-4.13
758,90,-0.3635,DownDirection,-36.1,-21.32
759,270,0.5429,UpDirection,67.11,32.88
760,90,0.2681,UpDirection,55.69,15.55
761,90,0.7022,UpDirection,77.43,44.6
762,90,0.8643,UpDirection,22.61,59.81
763,270,-0.562,DownDirection,20.3,-34.19
764,90,0.3996,UpDirection,48.47,23.55
765,90,0.9112,UpDirection,20.39,65.67
766,270,0.2246,UpDirection,54.44,12.98
767,90,0.124,UpDirection,-48.36,7.12
768,90,-0.0918,DownDirection,8.14,-5.27
769,270,-0.5816,DownDirection,64.27,-35.57
770,90,0.5144,UpDirection,25.63,30.95
771,90,0.2228,UpDirection,60.07,12.87
772,270,-0.1096,DownDirection,36.73,-6.29
773,90,0.9374,UpDirection,128.24,69.63
774,270,0.0556,UpDirection,-29.51,3.18
775,270,0.2931,UpDirection,39.92,17.04
776,270,0.321,UpDirection,54.76,18.72
777,90,0.0994,UpDirection,58.85,5.71
778,90,-0.0407,DownDirection,-13.98,-2.33
779,270,-0.4502,DownDirection,89.77,-26.75
780,90,0.4649,UpDirection,90.19,27.7
781,270,-0.6858,DownDirection,-11.73,-43.3
782,90,0.9575,UpDirection,157.54,73.24
783,90,0.0458,UpDirection,-7.75,2.62
